filename,mask_coverage,mask_area
overlay_frame_0000.png,0.32210648148148147,41745
overlay_frame_0001.png,0.03361111111111111,4356
overlay_frame_0002.png,0.034020061728395064,4409
overlay_frame_0003.png,0.07156635802469136,9275
overlay_frame_0004.png,0.06701388888888889,8685
overlay_frame_0005.png,0.3279783950617284,42506
overlay_frame_0006.png,0.33002314814814815,42771
overlay_frame_0007.png,0.285162037037037,36957
overlay_frame_0008.png,0.11483796296296296,14883
overlay_frame_0009.png,0.09482253086419754,12289
overlay_frame_0010.png,0.09550925925925927,12378
overlay_frame_0011.png,0.28295524691358026,36671
overlay_frame_0012.png,0.08451388888888889,10953
overlay_frame_0013.png,0.0924537037037037,11982
overlay_frame_0014.png,0.0954320987654321,12368
overlay_frame_0015.png,0.09756172839506173,12644
overlay_frame_0016.png,0.3105324074074074,40245
overlay_frame_0017.png,0.3144521604938272,40753
overlay_frame_0018.png,0.31800925925925927,41214
overlay_frame_0019.png,0.3159567901234568,40948
overlay_frame_0020.png,0.36128858024691357,46823
overlay_frame_0021.png,0.3586496913580247,46481
overlay_frame_0022.png,0.28924382716049385,37486
overlay_frame_0023.png,0.3540895061728395,45890
overlay_frame_0024.png,0.3655324074074074,47373
overlay_frame_0025.png,0.35891975308641977,46516
overlay_frame_0026.png,0.3627546296296296,47013
overlay_frame_0027.png,0.36161265432098766,46865
overlay_frame_0028.png,0.3627546296296296,47013
overlay_frame_0029.png,0.34675154320987656,44939
overlay_frame_0030.png,0.33916666666666667,43956
overlay_frame_0031.png,0.2948225308641975,38209
overlay_frame_0032.png,0.11189814814814815,14502
overlay_frame_0033.png,0.11487654320987654,14888
overlay_frame_0034.png,0.28284722222222225,36657
overlay_frame_0035.png,0.4945601851851852,64095
overlay_frame_0036.png,0.09018518518518519,11688
overlay_frame_0037.png,0.14544753086419754,18850
overlay_frame_0038.png,0.14976851851851852,19410
overlay_frame_0039.png,0.15888888888888889,20592
overlay_frame_0040.png,0.1631327160493827,21142
overlay_frame_0041.png,0.1608719135802469,20849
overlay_frame_0042.png,0.16310956790123457,21139
overlay_frame_0043.png,0.16126543209876543,20900
overlay_frame_0044.png,0.15973765432098766,20702
overlay_frame_0045.png,0.1610185185185185,20868
overlay_frame_0046.png,0.1646682098765432,21341
overlay_frame_0047.png,0.15710648148148149,20361
overlay_frame_0048.png,0.15435956790123456,20005
overlay_frame_0049.png,0.15141975308641975,19624
overlay_frame_0050.png,0.15637345679012346,20266
overlay_frame_0051.png,0.1593287037037037,20649
overlay_frame_0052.png,0.15611882716049383,20233
overlay_frame_0053.png,0.1579398148148148,20469
overlay_frame_0054.png,0.15584104938271606,20197
overlay_frame_0055.png,0.010779320987654321,1397
overlay_frame_0056.png,0.011157407407407408,1446
overlay_frame_0057.png,0.010763888888888889,1395
overlay_frame_0058.png,0.010756172839506173,1394
overlay_frame_0059.png,0.010748456790123456,1393
overlay_frame_0060.png,0.010763888888888889,1395
overlay_frame_0061.png,0.011087962962962963,1437
overlay_frame_0062.png,0.010902777777777779,1413
overlay_frame_0063.png,0.010833333333333334,1404
overlay_frame_0064.png,0.2882253086419753,37354
overlay_frame_0065.png,0.3651929012345679,47329
overlay_frame_0066.png,0.31300154320987655,40565
overlay_frame_0067.png,0.3185570987654321,41285
overlay_frame_0068.png,0.31391975308641973,40684
overlay_frame_0069.png,0.2673456790123457,34648
overlay_frame_0070.png,0.36539351851851853,47355
overlay_frame_0071.png,0.18830246913580248,24404
overlay_frame_0072.png,0.18388888888888888,23832
overlay_frame_0073.png,0.34088734567901235,44179
overlay_frame_0074.png,0.3419212962962963,44313
overlay_frame_0075.png,0.02202932098765432,2855
overlay_frame_0076.png,0.023148148148148147,3000
overlay_frame_0077.png,0.023325617283950616,3023
overlay_frame_0078.png,0.02718364197530864,3523
overlay_frame_0079.png,0.025246913580246912,3272
overlay_frame_0080.png,0.027260802469135804,3533
overlay_frame_0081.png,0.021087962962962965,2733
overlay_frame_0082.png,0.026844135802469134,3479
overlay_frame_0083.png,0.027214506172839506,3527
overlay_frame_0084.png,0.00253858024691358,329
overlay_frame_0085.png,0.011242283950617283,1457
overlay_frame_0086.png,0.030679012345679012,3976
overlay_frame_0087.png,0.2479398148148148,32133
overlay_frame_0088.png,0.3113117283950617,40346
overlay_frame_0089.png,0.3814351851851852,49434
overlay_frame_0090.png,0.3521219135802469,45635
overlay_frame_0091.png,0.32875,42606
overlay_frame_0092.png,0.36814043209876546,47711
overlay_frame_0093.png,0.3572916666666667,46305
overlay_frame_0094.png,0.35248456790123456,45682
overlay_frame_0095.png,0.410162037037037,53157
overlay_frame_0096.png,0.03383487654320988,4385
overlay_frame_0097.png,0.012608024691358025,1634
overlay_frame_0098.png,0.24959104938271606,32347
overlay_frame_0099.png,0.33977623456790124,44035
